1953;Walter Amann / Paul Hahnemann;Vorstandsvorsitzender (1953)
1953;Phillipp Zähringer;Vorstandsvorsitzender (1954)
1953;Dr. Fritz Armbruster;Vorstandsvorsitzender (1955)
1953;Hansjörg Henninger;Vorstandsvorsitzender (1956 - 1959)
1953;Albrecht von Witzleben;Vorstandsvorsitzender (1960)
1953;Walter Kolb;Vorstandsvorsitzender (1961 - 1963)
1963;Walter Kolb;Vorstandsvorsitzender (1961 - 1963)
1963;Gerd Müller;Vorstandsvorsitzender (1964)
1963;Dr. Wolfgang Sandermann;Vorstandsvorsitzender (1965)
1963;Dr. Otto Deutelmoser;Vorstandsvorsitzender (1966 - 1967)
1963;Dr. Hermann Katz;Vorstandsvorsitzender (1968 - 1969)
1963;Walter Spiegel;Vorstandsvorsitzender (1970)
1963;Klaus Michaletz;Vorstandsvorsitzender (1971)
1963;Dr. Eberhard Theilacker;Vorstandsvorsitzender (1972 - 1974)
1973;Dr. Eberhard Theilacker;Vorstandsvorsitzender (1972 - 1974)
1973;Kurt Balker;Vorstandsvorsitzender (1975 - 1977)
1973;Volker Mattern;Vorstandsvorsitzender (1978)
1973;Helmut Heine;Vorstandsvorsitzender (1979 - 1981)
1973;Gregor Bär;Vorstandsvorsitzender (1982)
1983;Dr. Rüdiger Richter;Vorstandsvorsitzender (1983 - 1985)
1983;Manfred Karle;Vorstandsvorsitzender (1986 - 1987)
1983;Volker Steinberg;Vorstandsvorsitzender (1988 - 1989)
1983;Hermann Sumser;Vorstandsvorsitzender (1989 - 1992)
1993;Leonhard Ganter;Vorstandsvorsitzender (1993 - 1994)
1993;Thomas Kohlmorgen;Vorstandsvorsitzender (1995)
1993;Eberhard Liebherr;Vorstandsvorsitzender (1996 - 1997)
1993;Dr. Anja-Christine Bauer-Harz;Vorstandsvorsitzender (1998 - 2000)
1993;Markus Dietrich;Vorstandsvorsitzender (2001)
1993;Bernd Scherer;Vorstandsvorsitzender (2002)
2003;Bernd Scherer;Vorstandsvorsitzender
2004;Marco Peege;Vorstandsvorsitzender
2005;Marco Peege;Vorstandsvorsitzender
2006;Johannes Seidel;Vorstandsvorsitzender
2007;Johannes Seidel;Vorstandsvorsitzender
2008;Ulrich Wiener;Vorstandsvorsitzender
2009;Branco Borchert;Vorstandsvorsitzender
2010;Alexander Vogel;Vorstandsvorsitzender
2011;Maria Haas;Vorstandsvorsitzender
2012;Frank Hirtler;Vorstandsvorsitzender
2013;Melanie Enderle;Vorstandsvorsitzender
2014;Tobias Oeftering;Vorstandsvorsitzender
2015;Florian Braune;Vorstandsvorsitzender
2016;Caroline Strotzer;Vorstandsvorsitzender
2017;Christoffer Wiese;Vorstandsvorsitzender
2018;Christoffer Wiese;Vorstandsvorsitzender
2019;Jana Weitze;Vorstandsvorsitzender
2020;Gaétan Joffroy;Vorstandsvorsitzender
2021;Daniel Kemen;Vorstandsvorsitzender
2022;Daniel Kemen;Vorstandsvorsitzender
